"","points","pointsallowed","assists","offensive_rebounds","rebounds","pointsoffturnovers","second_chance_points","fastbreak_points","points_in_the_paint","fgp","tpp","ft_attempted","turnovers"
"Game",105,84,26,13,41,38,15,35,46,43.3,28.9,22,18
"Season",106.8,97.7,22.8,10.7,42.7,17.3,12.3,12.7,42.3,46.8,35.9,20.2,14.7
"Diff",-1.8,-13.7,3.2,2.3,-1.7,20.7,2.7,22.3,3.7,-3.5,-7,1.8,3.3
