"","points","pointsallowed","assists","offensive_rebounds","rebounds","pointsoffturnovers","second_chance_points","fastbreak_points","points_in_the_paint","fgp","tpp","ft_attempted","turnovers"
"Game",114,96,26,16,49,12,14,14,54,48.3,37,26,20
"Season",105.3,95.7,22.8,10.2,41.3,21.7,12.5,16.2,41,46,34.6,19.5,14.3
"Diff",8.7,0.299999999999997,3.2,5.8,7.7,-9.7,1.5,-2.2,13,2.3,2.4,6.5,5.7
