"","points","pointsallowed","assists","offensive_rebounds","rebounds","pointsoffturnovers","second_chance_points","fastbreak_points","points_in_the_paint","fgp","tpp","ft_attempted","turnovers"
"Game",110,91,23,9,46,9,11,3,38,49.4,42.9,21,15
"Season",106,96.5,23.3,11.3,41.8,22.2,13,18,43.7,45.8,33.6,20.3,15.2
"Diff",4,-5.5,-0.300000000000001,-2.3,4.2,-13.2,-2,-15,-5.7,3.6,9.3,0.699999999999999,-0.199999999999999
