"","points","pointsallowed","assists","offensive_rebounds","rebounds","pointsoffturnovers","second_chance_points","fastbreak_points","points_in_the_paint","fgp","tpp","ft_attempted","turnovers"
"Game",103,91,19,15,45,18,18,16,56,42.4,31,28,11
"Season",100,97,18.9,6.6,40.1,20.1,6,14.1,40,43.6,33.6,27,12.9
"Diff",3,-6,0.100000000000001,8.4,4.9,-2.1,12,1.9,16,-1.2,-2.6,1,-1.9
