"","points","pointsallowed","assists","offensive_rebounds","rebounds","pointsoffturnovers","second_chance_points","fastbreak_points","points_in_the_paint","fgp","tpp","ft_attempted","turnovers"
"Game",103,89,26,6,42,24,5,18,44,47.1,42.4,12,9
"Season",100.3,98.5,18.2,8.7,41,18.8,8.5,16.2,42,43,32,28,13.3
"Diff",2.7,-9.5,7.8,-2.7,1,5.2,-3.5,1.8,2,4.1,10.4,-16,-4.3
