"","points","pointsallowed","assists","offensive_rebounds","rebounds","pointsoffturnovers","second_chance_points","fastbreak_points","points_in_the_paint","fgp","tpp","ft_attempted","turnovers"
"Game",99,104,17,11,48,16,11,14,40,34.4,22.9,33,7
"Season",100.6,95.1,19.1,7.1,39.7,20.4,7,14.4,42.3,44.8,34.8,26.3,13.4
"Diff",-1.59999999999999,8.90000000000001,-2.1,3.9,8.3,-4.4,4,-0.4,-2.3,-10.4,-11.9,6.7,-6.4
