"","points","pointsallowed","assists","offensive_rebounds","rebounds","pointsoffturnovers","second_chance_points","fastbreak_points","points_in_the_paint","fgp","tpp","ft_attempted","turnovers"
"Game",98,90,16,3,38,22,4,0,40,42.6,31.6,37,12
"Season",100.3,98.5,18.2,8.7,41,18.8,8.5,16.2,42,43,32,28,13.3
"Diff",-2.3,-8.5,-2.2,-5.7,-3,3.2,-4.5,-16.2,-2,-0.399999999999999,-0.399999999999999,9,-1.3
