"","points","pointsallowed","assists","offensive_rebounds","rebounds","pointsoffturnovers","second_chance_points","fastbreak_points","points_in_the_paint","fgp","tpp","ft_attempted","turnovers"
"Game",133,103,33,10,50,15,8,34,44,55.8,38.5,26,16
"Season",118.4,112.8,30.5,9.6,44,17.5,9.5,27.1,44.8,52,42.1,21,17.1
"Diff",14.6,-9.8,2.5,0.4,6,-2.5,-1.5,6.9,-0.799999999999997,3.8,-3.6,5,-1.1
