"","points","pointsallowed","assists","offensive_rebounds","rebounds","pointsoffturnovers","second_chance_points","fastbreak_points","points_in_the_paint","fgp","tpp","ft_attempted","turnovers"
"Game",120,117,33,15,53,17,8,22,52,48.4,26.3,20,17
"Season",120,111,30.5,9,43.6,17.2,9.5,28.6,43.8,52.9,43.6,21.8,17
"Diff",0,6,2.5,6,9.4,-0.199999999999999,-1.5,-6.6,8.2,-4.5,-17.3,-1.8,0
