"","points","pointsallowed","assists","offensive_rebounds","rebounds","pointsoffturnovers","second_chance_points","fastbreak_points","points_in_the_paint","fgp","tpp","ft_attempted","turnovers"
"Game",112,92,30,4,40,23,6,24,40,51.8,50,16,14
"Season",121,114.1,30.9,10.4,45.2,16.5,9.8,28.4,45.2,52.5,40.6,22.2,17.4
"Diff",-9,-22.1,-0.899999999999999,-6.4,-5.2,6.5,-3.8,-4.4,-5.2,-0.700000000000003,9.4,-6.2,-3.4
