"","points","pointsallowed","assists","offensive_rebounds","rebounds","pointsoffturnovers","second_chance_points","fastbreak_points","points_in_the_paint","fgp","tpp","ft_attempted","turnovers"
"Game",101,92,27,9,40,24,10,12,52,43,24.1,20,12
"Season",110.7,104.3,22.2,10,43.5,21.2,10.7,10.5,48.7,46.1,32.3,25,13.7
"Diff",-9.7,-12.3,4.8,-1,-3.5,2.8,-0.699999999999999,1.5,3.3,-3.1,-8.2,-5,-1.7
