"","points","pointsallowed","assists","offensive_rebounds","rebounds","pointsoffturnovers","second_chance_points","fastbreak_points","points_in_the_paint","fgp","tpp","ft_attempted","turnovers"
"Game",128,94,23,8,51,23,13,12,42,47.2,29.5,37,13
"Season",106.2,104,22.8,10.2,41.7,21.3,10.2,10.5,50.3,45.4,31.4,22.2,13.5
"Diff",21.8,-10,0.199999999999999,-2.2,9.3,1.7,2.8,1.5,-8.3,1.8,-1.9,14.8,-0.5
