"","points","pointsallowed","assists","offensive_rebounds","rebounds","pointsoffturnovers","second_chance_points","fastbreak_points","points_in_the_paint","fgp","tpp","ft_attempted","turnovers"
"Game",112,117,30,17,42,17,15,15,54,45.7,23.5,19,16
"Season",108.8,100.2,21.7,8.7,43.2,22.3,9.8,10,48.3,45.6,32.4,25.2,13
"Diff",3.2,16.8,8.3,8.3,-1.2,-5.3,5.2,5,5.7,0.100000000000001,-8.9,-6.2,3
