"","points","pointsallowed","assists","offensive_rebounds","rebounds","pointsoffturnovers","second_chance_points","fastbreak_points","points_in_the_paint","fgp","tpp","ft_attempted","turnovers"
"Game",91,107,19,8,41,13,7,0,30,36.9,41.9,21,14
"Season",99.1,108.5,20.8,9.1,40,15,12,8.4,32.2,42.9,38.1,21.4,14.9
"Diff",-8.09999999999999,-1.5,-1.8,-1.1,1,-2,-5,-8.4,-2.2,-6,3.8,-0.399999999999999,-0.9
