"","points","pointsallowed","assists","offensive_rebounds","rebounds","pointsoffturnovers","second_chance_points","fastbreak_points","points_in_the_paint","fgp","tpp","ft_attempted","turnovers"
"Game",103,133,21,14,42,18,20,8,44,39.6,31,30,12
"Season",97.6,105.2,20.5,8.4,39.9,14.4,10.4,7.4,30.5,42.5,39.4,20.2,15.1
"Diff",5.40000000000001,27.8,0.5,5.6,2.1,3.6,9.6,0.6,13.5,-2.9,-8.4,9.8,-3.1
