"","points","pointsallowed","assists","offensive_rebounds","rebounds","pointsoffturnovers","second_chance_points","fastbreak_points","points_in_the_paint","fgp","tpp","ft_attempted","turnovers"
"Game",103,94,20,4,35,22,5,7,36,48.6,42.3,29,11
"Season",98.6,112.1,20.7,8.4,39,14.4,10.7,7.7,32,42.5,39.3,20.4,15.4
"Diff",4.40000000000001,-18.1,-0.699999999999999,-4.4,-4,7.6,-5.7,-0.7,4,6.1,3,8.6,-4.4
