"","points","pointsallowed","assists","offensive_rebounds","rebounds","pointsoffturnovers","second_chance_points","fastbreak_points","points_in_the_paint","fgp","tpp","ft_attempted","turnovers"
"Game",120,115,21,16,52,24,22,4,50,43.3,27.3,38,9
"Season",111,107,24.5,10.7,42.5,21.3,11.3,13.8,41.7,45.7,36.2,26.3,14.2
"Diff",9,8,-3.5,5.3,9.5,2.7,10.7,-9.8,8.3,-2.40000000000001,-8.9,11.7,-5.2
