"","points","pointsallowed","assists","offensive_rebounds","rebounds","pointsoffturnovers","second_chance_points","fastbreak_points","points_in_the_paint","fgp","tpp","ft_attempted","turnovers"
"Game",116,122,20,15,45,15,15,14,46,44.6,33.3,30,12
"Season",111.7,105.8,24.7,10.8,43.7,22.8,12.5,12.2,42.3,45.5,35.2,27.7,13.7
"Diff",4.3,16.2,-4.7,4.2,1.3,-7.8,2.5,1.8,3.7,-0.899999999999999,-1.90000000000001,2.3,-1.7
