"","points","pointsallowed","assists","offensive_rebounds","rebounds","pointsoffturnovers","second_chance_points","fastbreak_points","points_in_the_paint","fgp","tpp","ft_attempted","turnovers"
"Game",99,102,20,7,45,29,2,16,48,41.1,23.1,23,13
"Season",114.5,109.2,24.7,12.2,43.7,20.5,14.7,11.8,42,46.1,36.9,28.8,13.5
"Diff",-15.5,-7.2,-4.7,-5.2,1.3,8.5,-12.7,4.2,6,-5,-13.8,-5.8,-0.5
