"","points","pointsallowed","assists","offensive_rebounds","rebounds","pointsoffturnovers","second_chance_points","fastbreak_points","points_in_the_paint","fgp","tpp","ft_attempted","turnovers"
"Game",110,83,28,13,49,14,19,4,30,47.1,50,20,15
"Season",112.7,112.3,23.3,11.2,43,23,11.8,13.8,45,45.1,32.4,29.3,13.2
"Diff",-2.7,-29.3,4.7,1.8,6,-9,7.2,-9.8,-15,2,17.6,-9.3,1.8
