"","points","pointsallowed","assists","offensive_rebounds","rebounds","pointsoffturnovers","second_chance_points","fastbreak_points","points_in_the_paint","fgp","tpp","ft_attempted","turnovers"
"Game",77,87,18,8,48,4,8,5,32,37.8,28.6,9,19
"Season",92.6,104,21.2,11,48.2,13.8,9,6.2,35.2,38.8,31.3,19.8,14.4
"Diff",-15.6,-17,-3.2,-3,-0.200000000000003,-9.8,-1,-1.2,-3.2,-1,-2.7,-10.8,4.6
