"","points","pointsallowed","assists","offensive_rebounds","rebounds","pointsoffturnovers","second_chance_points","fastbreak_points","points_in_the_paint","fgp","tpp","ft_attempted","turnovers"
"Game",117,106,30,5,43,26,7,11,42,54.3,50,21,14
"Season",103.1,107.4,23.3,5.9,37.1,15.4,6.9,9.1,46.6,47.6,37.9,19.9,14.4
"Diff",13.9,-1.40000000000001,6.7,-0.9,5.9,10.6,0.0999999999999996,1.9,-4.6,6.7,12.1,1.1,-0.4
