"","points","pointsallowed","assists","offensive_rebounds","rebounds","pointsoffturnovers","second_chance_points","fastbreak_points","points_in_the_paint","fgp","tpp","ft_attempted","turnovers"
"Game",121,126,29,9,40,11,17,13,40,49.5,52.8,15,14
"Season",102.5,106.3,23.3,5.3,36.8,18.2,6,9.2,45.3,48.5,37.9,21.5,14.7
"Diff",18.5,19.7,5.7,3.7,3.2,-7.2,11,3.8,-5.3,1,14.9,-6.5,-0.699999999999999
