"","points","pointsallowed","assists","offensive_rebounds","rebounds","pointsoffturnovers","second_chance_points","fastbreak_points","points_in_the_paint","fgp","tpp","ft_attempted","turnovers"
"Game",90,96,17,6,40,13,9,4,44,43,22.6,16,19
"Season",107.3,108.3,21.5,8.2,43.3,17.8,11,9.8,50,46.8,34.1,18.5,15
"Diff",-17.3,-12.3,-4.5,-2.2,-3.3,-4.8,-2,-5.8,-6,-3.8,-11.5,-2.5,4
