"","points","pointsallowed","assists","offensive_rebounds","rebounds","pointsoffturnovers","second_chance_points","fastbreak_points","points_in_the_paint","fgp","tpp","ft_attempted","turnovers"
"Game",100,117,19,4,32,17,3,9,44,46.2,34.6,18,9
"Season",105.7,104.8,21.2,8.5,44.7,17.2,12,9,50,46.2,32.1,18.2,16.7
"Diff",-5.7,12.2,-2.2,-4.5,-12.7,-0.199999999999999,-9,0,-6,0,2.5,-0.199999999999999,-7.7
