"","points","pointsallowed","assists","offensive_rebounds","rebounds","pointsoffturnovers","second_chance_points","fastbreak_points","points_in_the_paint","fgp","tpp","ft_attempted","turnovers"
"Game",97,91,21,3,48,15,6,4,38,41,38.7,19,11
"Season",106.2,109.2,20.8,8.7,42,17.5,11.5,9.8,51,47.1,31.5,18,16.3
"Diff",-9.2,-18.2,0.199999999999999,-5.7,6,-2.5,-5.5,-5.8,-13,-6.1,7.2,1,-5.3
