"","points","pointsallowed","assists","offensive_rebounds","rebounds","pointsoffturnovers","second_chance_points","fastbreak_points","points_in_the_paint","fgp","tpp","ft_attempted","turnovers"
"Game",87,77,25,14,52,23,17,6,52,40.9,8.3,16,11
"Season",98.9,103.9,20,13.3,46.9,16.4,16.9,8,43.7,42.9,35.2,22.9,14.7
"Diff",-11.9,-26.9,5,0.699999999999999,5.1,6.6,0.100000000000001,-2,8.3,-2,-26.9,-6.9,-3.7
