"","points","pointsallowed","assists","offensive_rebounds","rebounds","pointsoffturnovers","second_chance_points","fastbreak_points","points_in_the_paint","fgp","tpp","ft_attempted","turnovers"
"Game",94,108,24,12,40,14,11,8,42,41.4,46.2,20,11
"Season",97.9,99.4,20.1,13.6,48.6,17.7,17.7,7.7,45.1,42.8,29.7,22.3,14.7
"Diff",-3.90000000000001,8.59999999999999,3.9,-1.6,-8.6,-3.7,-6.7,0.3,-3.1,-1.4,16.5,-2.3,-3.7
