"","points","pointsallowed","assists","offensive_rebounds","rebounds","pointsoffturnovers","second_chance_points","fastbreak_points","points_in_the_paint","fgp","tpp","ft_attempted","turnovers"
"Game",87,114,19,17,49,13,17,6,46,33.7,16.7,27,17
"Season",98.9,98.6,20.9,12.9,47.3,17.9,16.9,8,44.6,43.9,34,21.3,13.9
"Diff",-11.9,15.4,-1.9,4.1,1.7,-4.9,0.100000000000001,-2,1.4,-10.2,-17.3,5.7,3.1
