"","points","pointsallowed","assists","offensive_rebounds","rebounds","pointsoffturnovers","second_chance_points","fastbreak_points","points_in_the_paint","fgp","tpp","ft_attempted","turnovers"
"Game",114,95,27,11,51,13,19,13,36,47.2,46.4,21,14
"Season",100,106.8,21.3,11.7,44.8,14.7,17.3,5.7,44.3,44.5,27.9,21.3,17.2
"Diff",14,-11.8,5.7,-0.699999999999999,6.2,-1.7,1.7,7.3,-8.3,2.7,18.5,-0.300000000000001,-3.2
