"","points","pointsallowed","assists","offensive_rebounds","rebounds","pointsoffturnovers","second_chance_points","fastbreak_points","points_in_the_paint","fgp","tpp","ft_attempted","turnovers"
"Game",107,111,20,12,39,18,18,3,46,45.7,26.7,31,12
"Season",101.2,104.2,22.5,11.5,46.8,13.8,17.5,7.3,42.7,44.7,31.2,19.7,17.5
"Diff",5.8,6.8,-2.5,0.5,-7.8,4.2,0.5,-4.3,3.3,1,-4.5,11.3,-5.5
