"","points","pointsallowed","assists","offensive_rebounds","rebounds","pointsoffturnovers","second_chance_points","fastbreak_points","points_in_the_paint","fgp","tpp","ft_attempted","turnovers"
"Game",97,119,23,6,42,15,2,8,38,43.3,29.6,13,19
"Season",102.8,102.8,22,12.5,46.3,14.3,20.2,6.5,44,45.1,30.8,22.7,16.3
"Diff",-5.8,16.2,1,-6.5,-4.3,0.699999999999999,-18.2,1.5,-6,-1.8,-1.2,-9.7,2.7
