"","points","pointsallowed","assists","offensive_rebounds","rebounds","pointsoffturnovers","second_chance_points","fastbreak_points","points_in_the_paint","fgp","tpp","ft_attempted","turnovers"
"Game",107,86,19,19,55,14,31,4,50,44.9,33.3,17,11
"Season",101.2,108.3,22.7,10.3,44.2,14.5,15.3,7.2,42,44.9,30.1,22,17.7
"Diff",5.8,-22.3,-3.7,8.7,10.8,-0.5,15.7,-3.2,8,0,3.2,-5,-6.7
