"","points","pointsallowed","assists","offensive_rebounds","rebounds","pointsoffturnovers","second_chance_points","fastbreak_points","points_in_the_paint","fgp","tpp","ft_attempted","turnovers"
"Game",104,109,27,9,44,9,16,21,52,48.8,34.8,23,23
"Season",107.6,104.7,23.7,11.3,45.3,18.3,16.1,12.4,47.7,45.6,39.4,21.7,13.1
"Diff",-3.59999999999999,4.3,3.3,-2.3,-1.3,-9.3,-0.100000000000001,8.6,4.3,3.2,-4.6,1.3,9.9
