"","points","pointsallowed","assists","offensive_rebounds","rebounds","pointsoffturnovers","second_chance_points","fastbreak_points","points_in_the_paint","fgp","tpp","ft_attempted","turnovers"
"Game",96,79,25,18,58,19,19,16,52,43.5,33.3,20,16
"Season",108.7,109,24,10,43.3,16.9,15.7,13.1,47.7,46.4,39.7,22.1,14.1
"Diff",-12.7,-30,1,8,14.7,2.1,3.3,2.9,4.3,-2.9,-6.40000000000001,-2.1,1.9
