"","points","pointsallowed","assists","offensive_rebounds","rebounds","pointsoffturnovers","second_chance_points","fastbreak_points","points_in_the_paint","fgp","tpp","ft_attempted","turnovers"
"Game",93,110,18,17,50,12,22,7,52,38.4,25.8,15,13
"Season",109.1,104.6,25,10.1,44.4,17.9,15.3,14.4,47.7,47.1,40.7,22.9,14.6
"Diff",-16.1,5.40000000000001,-7,6.9,5.6,-5.9,6.7,-7.4,4.3,-8.7,-14.9,-7.9,-1.6
