"","points","pointsallowed","assists","offensive_rebounds","rebounds","pointsoffturnovers","second_chance_points","fastbreak_points","points_in_the_paint","fgp","tpp","ft_attempted","turnovers"
"Game",105,100,24,11,46,14,24,7,60,46.2,20,23,11
"Season",107.4,106,24.1,11,45,17.6,15,14.4,46.6,46,41.6,21.7,14.9
"Diff",-2.40000000000001,-6,-0.100000000000001,0,1,-3.6,9,-7.4,13.4,0.200000000000003,-21.6,1.3,-3.9
