"","points","pointsallowed","assists","offensive_rebounds","rebounds","pointsoffturnovers","second_chance_points","fastbreak_points","points_in_the_paint","fgp","tpp","ft_attempted","turnovers"
"Game",129,111,35,9,43,21,17,20,52,53.4,50,29,12
"Season",104,104.4,22.6,11.3,45.4,16.6,16,12.6,47.7,45,37.3,20.9,14.7
"Diff",25,6.59999999999999,12.4,-2.3,-2.4,4.4,1,7.4,4.3,8.4,12.7,8.1,-2.7
