"","points","pointsallowed","assists","offensive_rebounds","rebounds","pointsoffturnovers","second_chance_points","fastbreak_points","points_in_the_paint","fgp","tpp","ft_attempted","turnovers"
"Game",104,103,11,14,46,14,17,4,44,46.8,32.1,36,11
"Season",109.8,99.7,22.8,11.3,48.2,21.3,14.7,13.7,46.7,45.4,40.5,24.2,14.3
"Diff",-5.8,3.3,-11.8,2.7,-2.2,-7.3,2.3,-9.7,-2.7,1.4,-8.4,11.8,-3.3
