"","points","pointsallowed","assists","offensive_rebounds","rebounds","pointsoffturnovers","second_chance_points","fastbreak_points","points_in_the_paint","fgp","tpp","ft_attempted","turnovers"
"Game",113,141,21,9,35,19,12,13,40,45.3,40,30,13
"Season",108.3,93.3,21.2,12.2,50,20.5,15.5,12.2,47.3,45.7,39.2,25.2,14
"Diff",4.7,47.7,-0.199999999999999,-3.2,-15,-1.5,-3.5,0.800000000000001,-7.3,-0.400000000000006,0.799999999999997,4.8,-1
