"","points","pointsallowed","assists","offensive_rebounds","rebounds","pointsoffturnovers","second_chance_points","fastbreak_points","points_in_the_paint","fgp","tpp","ft_attempted","turnovers"
"Game",102,84,21,11,44,26,11,14,52,47,34.5,21,13
"Season",110.2,102.8,21.2,11.8,48.5,19.3,15.7,12,45.3,45.4,40.1,26.7,14
"Diff",-8.2,-18.8,-0.199999999999999,-0.800000000000001,-4.5,6.7,-4.7,2,6.7,1.6,-5.6,-5.7,-1
