"","points","pointsallowed","assists","offensive_rebounds","rebounds","pointsoffturnovers","second_chance_points","fastbreak_points","points_in_the_paint","fgp","tpp","ft_attempted","turnovers"
"Game",104,105,29,12,43,23,17,10,48,44.3,33.3,10,14
"Season",104.8,109.2,24.8,11.2,46.7,13.8,13.2,8.2,42.3,44.3,38,22.3,17.3
"Diff",-0.799999999999997,-4.2,4.2,0.800000000000001,-3.7,9.2,3.8,1.8,5.7,0,-4.7,-12.3,-3.3
