"","points","pointsallowed","assists","offensive_rebounds","rebounds","pointsoffturnovers","second_chance_points","fastbreak_points","points_in_the_paint","fgp","tpp","ft_attempted","turnovers"
"Game",112,110,25,11,42,17,9,16,44,49.4,45.7,14,13
"Season",105.1,108.1,25.7,10.7,47,15.7,13.9,7,44.6,45.1,36.7,22,17.7
"Diff",6.90000000000001,1.90000000000001,-0.699999999999999,0.300000000000001,-5,1.3,-4.9,9,-0.600000000000001,4.3,9,-8,-4.7
