"","points","pointsallowed","assists","offensive_rebounds","rebounds","pointsoffturnovers","second_chance_points","fastbreak_points","points_in_the_paint","fgp","tpp","ft_attempted","turnovers"
"Game",122,101,32,12,47,18,19,24,52,52.2,44.1,17,15
"Season",101.9,102.3,19.6,11.7,41.9,22.3,13,9.6,46.9,44.3,33.6,15.3,13
"Diff",20.1,-1.3,12.4,0.300000000000001,5.1,-4.3,6,14.4,5.1,7.90000000000001,10.5,1.7,2
