"","points","pointsallowed","assists","offensive_rebounds","rebounds","pointsoffturnovers","second_chance_points","fastbreak_points","points_in_the_paint","fgp","tpp","ft_attempted","turnovers"
"Game",86,97,14,9,39,20,10,2,46,38.8,20,19,14
"Season",107,102.9,22.1,12.1,43,22,14.3,12.7,47.7,46.2,37,15,13.1
"Diff",-21,-5.90000000000001,-8.1,-3.1,-4,-2,-4.3,-10.7,-1.7,-7.40000000000001,-17,4,0.9
