"","points","pointsallowed","assists","offensive_rebounds","rebounds","pointsoffturnovers","second_chance_points","fastbreak_points","points_in_the_paint","fgp","tpp","ft_attempted","turnovers"
"Game",102,90,24,9,47,26,7,12,44,42.7,34.6,12,8
"Season",104.7,103.9,20.7,12.1,41.9,21.1,14.7,11.3,48,45.6,34.9,16,14
"Diff",-2.7,-13.9,3.3,-3.1,5.1,4.9,-7.7,0.699999999999999,-4,-2.9,-0.299999999999997,-4,-6
