"","points","pointsallowed","assists","offensive_rebounds","rebounds","pointsoffturnovers","second_chance_points","fastbreak_points","points_in_the_paint","fgp","tpp","ft_attempted","turnovers"
"Game",115,107,22,17,37,33,18,10,50,46.2,44.4,17,13
"Season",102.9,101.4,21,11,43.3,20.1,13.1,11.6,47.1,45.1,33.5,15.3,13.3
"Diff",12.1,5.59999999999999,1,6,-6.3,12.9,4.9,-1.6,2.9,1.1,10.9,1.7,-0.300000000000001
