"","points","pointsallowed","assists","offensive_rebounds","rebounds","pointsoffturnovers","second_chance_points","fastbreak_points","points_in_the_paint","fgp","tpp","ft_attempted","turnovers"
"Game",99,115,30,9,43,14,12,11,54,45.9,25,18,19
"Season",108.3,108.1,23.7,10.1,45.4,19.3,13.3,11.3,52.3,46.2,34.2,23.4,16.4
"Diff",-9.3,6.90000000000001,6.3,-1.1,-2.4,-5.3,-1.3,-0.300000000000001,1.7,-0.300000000000004,-9.2,-5.4,2.6
