"","points","pointsallowed","assists","offensive_rebounds","rebounds","pointsoffturnovers","second_chance_points","fastbreak_points","points_in_the_paint","fgp","tpp","ft_attempted","turnovers"
"Game",120,128,26,16,51,28,16,14,48,45.9,44.4,22,17
"Season",105.3,106.3,24.3,9.1,44.3,17.3,12.7,10.9,53.1,46.2,31.4,22.9,16.7
"Diff",14.7,21.7,1.7,6.9,6.7,10.7,3.3,3.1,-5.1,-0.300000000000004,13,-0.899999999999999,0.300000000000001
