"","points","pointsallowed","assists","offensive_rebounds","rebounds","pointsoffturnovers","second_chance_points","fastbreak_points","points_in_the_paint","fgp","tpp","ft_attempted","turnovers"
"Game",119,112,26,6,42,24,10,18,68,56.6,31.2,21,18
"Season",105.4,108.6,24.3,10.6,45.6,17.9,13.6,10.3,50.3,44.7,33.3,23,16.6
"Diff",13.6,3.40000000000001,1.7,-4.6,-3.6,6.1,-3.6,7.7,17.7,11.9,-2.1,-2,1.4
