"","points","pointsallowed","assists","offensive_rebounds","rebounds","pointsoffturnovers","second_chance_points","fastbreak_points","points_in_the_paint","fgp","tpp","ft_attempted","turnovers"
"Game",116,97,25,9,44,20,16,2,64,54.3,42.3,17,17
"Season",103.4,114,21,8.1,42.7,15.3,12.9,7.6,42.6,45.5,31.1,24.3,16
"Diff",12.6,-17,4,0.9,1.3,4.7,3.1,-5.6,21.4,8.8,11.2,-7.3,1
