"","points","pointsallowed","assists","offensive_rebounds","rebounds","pointsoffturnovers","second_chance_points","fastbreak_points","points_in_the_paint","fgp","tpp","ft_attempted","turnovers"
"Game",102,99,19,9,50,12,16,11,50,45.8,22.7,25,17
"Season",105.4,113.7,21.9,8.1,41.9,16.4,12.9,6.3,44.6,46.7,33.9,23.1,16
"Diff",-3.40000000000001,-14.7,-2.9,0.9,8.1,-4.4,3.1,4.7,5.4,-0.900000000000006,-11.2,1.9,1
