"","points","pointsallowed","assists","offensive_rebounds","rebounds","pointsoffturnovers","second_chance_points","fastbreak_points","points_in_the_paint","fgp","tpp","ft_attempted","turnovers"
"Game",119,112,28,8,39,24,13,8,38,51.8,42.1,22,9
"Season",103,111.9,20.6,8.3,43.4,14.7,13.3,6.7,46.3,45.9,31.1,23.6,17.1
"Diff",16,0.0999999999999943,7.4,-0.300000000000001,-4.4,9.3,-0.300000000000001,1.3,-8.3,5.9,11,-1.6,-8.1
