"","points","pointsallowed","assists","offensive_rebounds","rebounds","pointsoffturnovers","second_chance_points","fastbreak_points","points_in_the_paint","fgp","tpp","ft_attempted","turnovers"
"Game",85,99,13,6,38,8,11,0,36,38.8,30.8,19,13
"Season",110.5,101.4,20.1,13.2,50.5,17.4,15.4,5.4,40.2,43.3,41.8,27.1,14
"Diff",-25.5,-2.40000000000001,-7.1,-7.2,-12.5,-9.4,-4.4,-5.4,-4.2,-4.5,-11,-8.1,-1
