"","points","pointsallowed","assists","offensive_rebounds","rebounds","pointsoffturnovers","second_chance_points","fastbreak_points","points_in_the_paint","fgp","tpp","ft_attempted","turnovers"
"Game",124,76,22,15,57,19,27,14,46,48.9,58.3,28,16
"Season",104.4,103.9,17.9,12.1,47.4,15.6,13.4,3.9,38.3,41.8,37.8,25.7,13.6
"Diff",19.6,-27.9,4.1,2.9,9.6,3.4,13.6,10.1,7.7,7.1,20.5,2.3,2.4
