"","points","pointsallowed","assists","offensive_rebounds","rebounds","pointsoffturnovers","second_chance_points","fastbreak_points","points_in_the_paint","fgp","tpp","ft_attempted","turnovers"
"Game",103,93,17,18,63,14,24,4,38,37.5,34.5,33,19
"Season",108.2,102.1,19.6,11.8,47.4,16.6,13.8,4.9,40,43.5,41.3,25.4,13.2
"Diff",-5.2,-9.09999999999999,-2.6,6.2,15.6,-2.6,10.2,-0.9,-2,-6,-6.8,7.6,5.8
