"","points","pointsallowed","assists","offensive_rebounds","rebounds","pointsoffturnovers","second_chance_points","fastbreak_points","points_in_the_paint","fgp","tpp","ft_attempted","turnovers"
"Game",114,107,27,12,53,19,13,2,44,44,42.3,28,14
"Season",104.4,103.9,17.9,12.1,47.4,15.6,13.4,3.9,38.3,41.8,37.8,25.7,13.6
"Diff",9.59999999999999,3.09999999999999,9.1,-0.0999999999999996,5.6,3.4,-0.4,-1.9,5.7,2.2,4.5,2.3,0.4
