"","points","pointsallowed","assists","offensive_rebounds","rebounds","pointsoffturnovers","second_chance_points","fastbreak_points","points_in_the_paint","fgp","tpp","ft_attempted","turnovers"
"Game",107,130,27,9,27,18,11,6,54,48.8,37.5,22,14
"Season",109,110.7,21,10.9,42.7,20.1,15,6.3,48,46.4,37.3,26.7,15.9
"Diff",-2,19.3,6,-1.9,-15.7,-2.1,-4,-0.3,6,2.4,0.200000000000003,-4.7,-1.9
