"","points","pointsallowed","assists","offensive_rebounds","rebounds","pointsoffturnovers","second_chance_points","fastbreak_points","points_in_the_paint","fgp","tpp","ft_attempted","turnovers"
"Game",99,107,23,11,42,14,11,11,48,43.5,42.1,23,13
"Season",110.1,114,21.6,10.6,40.6,20.7,15,5.6,48.9,47.1,36.7,26.6,16
"Diff",-11.1,-7,1.4,0.4,1.4,-6.7,-4,5.4,-0.899999999999999,-3.6,5.4,-3.6,-3
