"","points","pointsallowed","assists","offensive_rebounds","rebounds","pointsoffturnovers","second_chance_points","fastbreak_points","points_in_the_paint","fgp","tpp","ft_attempted","turnovers"
"Game",101,122,19,7,37,15,11,0,38,43.5,36,21,14
"Season",109.9,111.9,22.1,11.1,41.3,20.6,15,7.1,50.3,47.1,37.6,26.9,15.9
"Diff",-8.90000000000001,10.1,-3.1,-4.1,-4.3,-5.6,-4,-7.1,-12.3,-3.6,-1.6,-5.9,-1.9
