"","points","pointsallowed","assists","offensive_rebounds","rebounds","pointsoffturnovers","second_chance_points","fastbreak_points","points_in_the_paint","fgp","tpp","ft_attempted","turnovers"
"Game",93,104,14,6,41,21,12,7,44,47.4,41.2,18,20
"Season",101.9,109.7,22,9.9,42.7,18.4,11.1,7.7,38,42.1,37.2,20.4,14.1
"Diff",-8.90000000000001,-5.7,-8,-3.9,-1.7,2.6,0.9,-0.7,6,5.3,4,-2.4,5.9
