"","points","pointsallowed","assists","offensive_rebounds","rebounds","pointsoffturnovers","second_chance_points","fastbreak_points","points_in_the_paint","fgp","tpp","ft_attempted","turnovers"
"Game",100,105,23,11,43,18,13,2,30,41.6,42.4,12,12
"Season",100.9,109.6,20.7,9.1,42.4,18.9,11,8.4,40,42.9,37,21.3,15.3
"Diff",-0.900000000000006,-4.59999999999999,2.3,1.9,0.600000000000001,-0.899999999999999,2,-6.4,-10,-1.3,5.4,-9.3,-3.3
