"","points","pointsallowed","assists","offensive_rebounds","rebounds","pointsoffturnovers","second_chance_points","fastbreak_points","points_in_the_paint","fgp","tpp","ft_attempted","turnovers"
"Game",104,116,21,16,48,17,17,7,36,34,25.9,36,16
"Season",100.3,108,21,8.4,41.7,19,10.4,7.7,39.1,44,39.4,17.9,14.7
"Diff",3.7,8,0,7.6,6.3,-2,6.6,-0.7,-3.1,-10,-13.5,18.1,1.3
