"","points","pointsallowed","assists","offensive_rebounds","rebounds","pointsoffturnovers","second_chance_points","fastbreak_points","points_in_the_paint","fgp","tpp","ft_attempted","turnovers"
"Game",107,91,17,8,54,19,16,4,50,47.6,23.4,22,13
"Season",105.8,103.9,21.4,9,42.6,17.4,12.1,7.9,38.8,43.5,32.2,23.5,15.5
"Diff",1.2,-12.9,-4.4,-1,11.4,1.6,3.9,-3.9,11.2,4.1,-8.8,-1.5,-2.5
